"","att.avg","month","est","month2","treated","club"
"2014-01-01",-0.0355567504111678,"2014-01-01",0.0457722789902775,-41,FALSE,"liverpool"
"2014-02-01",-0.0355567504111678,"2014-02-01",-0.0718720764849444,-40,FALSE,"liverpool"
"2014-03-01",-0.0355567504111678,"2014-03-01",-0.0228780172027647,-39,FALSE,"liverpool"
"2014-04-01",-0.0355567504111678,"2014-04-01",0.069051034977472,-38,FALSE,"liverpool"
"2014-05-01",-0.0355567504111678,"2014-05-01",-0.0253689483944508,-37,FALSE,"liverpool"
"2014-06-01",-0.0355567504111678,"2014-06-01",0.00140539139962,-36,FALSE,"liverpool"
"2014-07-01",-0.0355567504111678,"2014-07-01",0.0477217038586973,-35,FALSE,"liverpool"
"2014-08-01",-0.0355567504111678,"2014-08-01",0.0446354085036854,-34,FALSE,"liverpool"
"2014-09-01",-0.0355567504111678,"2014-09-01",0.00421084674230696,-33,FALSE,"liverpool"
"2014-10-01",-0.0355567504111678,"2014-10-01",-0.0107117680315878,-32,FALSE,"liverpool"
"2014-11-01",-0.0355567504111678,"2014-11-01",0.0423980384324196,-31,FALSE,"liverpool"
"2014-12-01",-0.0355567504111678,"2014-12-01",-0.0289943365478189,-30,FALSE,"liverpool"
"2015-01-01",-0.0355567504111678,"2015-01-01",0.0176036802044386,-29,FALSE,"liverpool"
"2015-02-01",-0.0355567504111678,"2015-02-01",-0.0265334061724701,-28,FALSE,"liverpool"
"2015-03-01",-0.0355567504111678,"2015-03-01",-0.0109897959072936,-27,FALSE,"liverpool"
"2015-04-01",-0.0355567504111678,"2015-04-01",-0.0252737430978449,-26,FALSE,"liverpool"
"2015-05-01",-0.0355567504111678,"2015-05-01",-0.00148701537072909,-25,FALSE,"liverpool"
"2015-06-01",-0.0355567504111678,"2015-06-01",0.0103518051666071,-24,FALSE,"liverpool"
"2015-07-01",-0.0355567504111678,"2015-07-01",0.0214953316143665,-23,FALSE,"liverpool"
"2015-08-01",-0.0355567504111678,"2015-08-01",0.0108193619600069,-22,FALSE,"liverpool"
"2015-09-01",-0.0355567504111678,"2015-09-01",0.00703842218589044,-21,FALSE,"liverpool"
"2015-10-01",-0.0355567504111678,"2015-10-01",0.0257621406217299,-20,FALSE,"liverpool"
"2015-11-01",-0.0355567504111678,"2015-11-01",0.0104403356209484,-19,FALSE,"liverpool"
"2015-12-01",-0.0355567504111678,"2015-12-01",0.0226616337949047,-18,FALSE,"liverpool"
"2016-01-01",-0.0355567504111678,"2016-01-01",-0.0271801301518629,-17,FALSE,"liverpool"
"2016-02-01",-0.0355567504111678,"2016-02-01",0.0509983363588993,-16,FALSE,"liverpool"
"2016-03-01",-0.0355567504111678,"2016-03-01",0.0131811156923252,-15,FALSE,"liverpool"
"2016-04-01",-0.0355567504111678,"2016-04-01",0.0166081526316221,-14,FALSE,"liverpool"
"2016-05-01",-0.0355567504111678,"2016-05-01",-0.0381499749289841,-13,FALSE,"liverpool"
"2016-06-01",-0.0355567504111678,"2016-06-01",-0.018569976926855,-12,FALSE,"liverpool"
"2016-07-01",-0.0355567504111678,"2016-07-01",0.00150898454771199,-11,FALSE,"liverpool"
"2016-08-01",-0.0355567504111678,"2016-08-01",0.00239341261314847,-10,FALSE,"liverpool"
"2016-09-01",-0.0355567504111678,"2016-09-01",-0.0415326713476552,-9,FALSE,"liverpool"
"2016-10-01",-0.0355567504111678,"2016-10-01",-0.0168342020238695,-8,FALSE,"liverpool"
"2016-11-01",-0.0355567504111678,"2016-11-01",-0.00480639834739642,-7,FALSE,"liverpool"
"2016-12-01",-0.0355567504111678,"2016-12-01",-0.0071026498382214,-6,FALSE,"liverpool"
"2017-01-01",-0.0355567504111678,"2017-01-01",-0.0061592879854581,-5,FALSE,"liverpool"
"2017-02-01",-0.0355567504111678,"2017-02-01",-0.0292956307880538,-4,FALSE,"liverpool"
"2017-03-01",-0.0355567504111678,"2017-03-01",-0.0265973364249454,-3,FALSE,"liverpool"
"2017-04-01",-0.0355567504111678,"2017-04-01",-0.0355802494099258,-2,FALSE,"liverpool"
"2017-05-01",-0.0355567504111678,"2017-05-01",-0.000419413188588319,-1,FALSE,"liverpool"
"2017-06-01",-0.0355567504111678,"2017-06-01",0.0110445913838818,0,FALSE,"liverpool"
"2017-06-011",-0.0355567504111678,"2017-06-01",0.0110445913838818,0,TRUE,"liverpool"
"2017-07-01",-0.0355567504111678,"2017-07-01",0.000448575890915431,1,TRUE,"liverpool"
"2017-08-01",-0.0355567504111678,"2017-08-01",-0.0200354062281848,2,TRUE,"liverpool"
"2017-09-01",-0.0355567504111678,"2017-09-01",-0.00439213076322115,3,TRUE,"liverpool"
"2017-10-01",-0.0355567504111678,"2017-10-01",-0.066831140789052,4,TRUE,"liverpool"
"2017-11-01",-0.0355567504111678,"2017-11-01",-0.0333397407406388,5,TRUE,"liverpool"
"2017-12-01",-0.0355567504111678,"2017-12-01",-0.0845846126148373,6,TRUE,"liverpool"
"2018-01-01",-0.0355567504111678,"2018-01-01",-0.029467639916785,7,TRUE,"liverpool"
"2018-02-01",-0.0355567504111678,"2018-02-01",-0.0411273910787917,8,TRUE,"liverpool"
"2018-03-01",-0.0355567504111678,"2018-03-01",-0.0901044600171366,9,TRUE,"liverpool"
"2018-04-01",-0.0355567504111678,"2018-04-01",-0.0336462003830658,10,TRUE,"liverpool"
"2018-05-01",-0.0355567504111678,"2018-05-01",-0.0178238801962957,11,TRUE,"liverpool"
"2018-06-01",-0.0355567504111678,"2018-06-01",0.00703382083865471,12,TRUE,"liverpool"
"2018-07-01",-0.0355567504111678,"2018-07-01",-0.0513916755899442,13,TRUE,"liverpool"
"2018-08-01",-0.0355567504111678,"2018-08-01",-0.0325326241679663,14,TRUE,"liverpool"
"1",0.000755707413534315,"2014-01-01",0.0211040898509092,-41,FALSE,"arsenal"
"2",0.000755707413534315,"2014-02-01",0.0190134888856192,-40,FALSE,"arsenal"
"3",0.000755707413534315,"2014-03-01",0.0139363945271387,-39,FALSE,"arsenal"
"4",0.000755707413534315,"2014-04-01",0.019681787002474,-38,FALSE,"arsenal"
"5",0.000755707413534315,"2014-05-01",-0.0233262305521553,-37,FALSE,"arsenal"
"6",0.000755707413534315,"2014-06-01",-0.0146651466900095,-36,FALSE,"arsenal"
"7",0.000755707413534315,"2014-07-01",0.00344715431099601,-35,FALSE,"arsenal"
"8",0.000755707413534315,"2014-08-01",0.00167613259207976,-34,FALSE,"arsenal"
"9",0.000755707413534315,"2014-09-01",0.00339721605279401,-33,FALSE,"arsenal"
"10",0.000755707413534315,"2014-10-01",0.0202980539699712,-32,FALSE,"arsenal"
"11",0.000755707413534315,"2014-11-01",-0.00218508765061294,-31,FALSE,"arsenal"
"12",0.000755707413534315,"2014-12-01",0.00103942104606014,-30,FALSE,"arsenal"
"13",0.000755707413534315,"2015-01-01",-0.0068207303131494,-29,FALSE,"arsenal"
"14",0.000755707413534315,"2015-02-01",0.00306420166138012,-28,FALSE,"arsenal"
"15",0.000755707413534315,"2015-03-01",-0.00236284374619313,-27,FALSE,"arsenal"
"16",0.000755707413534315,"2015-04-01",-0.00390191619721484,-26,FALSE,"arsenal"
"17",0.000755707413534315,"2015-05-01",-0.00737632741588576,-25,FALSE,"arsenal"
"18",0.000755707413534315,"2015-06-01",-0.0098759673976481,-24,FALSE,"arsenal"
"19",0.000755707413534315,"2015-07-01",-0.00905529758639707,-23,FALSE,"arsenal"
"20",0.000755707413534315,"2015-08-01",-0.0140979000000219,-22,FALSE,"arsenal"
"21",0.000755707413534315,"2015-09-01",-0.0154863028478745,-21,FALSE,"arsenal"
"22",0.000755707413534315,"2015-10-01",0.00314404635451543,-20,FALSE,"arsenal"
"23",0.000755707413534315,"2015-11-01",0.00591453633244621,-19,FALSE,"arsenal"
"24",0.000755707413534315,"2015-12-01",0.0127360916070876,-18,FALSE,"arsenal"
"25",0.000755707413534315,"2016-01-01",0.00190442640412099,-17,FALSE,"arsenal"
"26",0.000755707413534315,"2016-02-01",0.019099639412349,-16,FALSE,"arsenal"
"27",0.000755707413534315,"2016-03-01",0.0123422574091096,-15,FALSE,"arsenal"
"28",0.000755707413534315,"2016-04-01",-0.0108242300879138,-14,FALSE,"arsenal"
"29",0.000755707413534315,"2016-05-01",0.00245213750606921,-13,FALSE,"arsenal"
"30",0.000755707413534315,"2016-06-01",-0.00574719233279988,-12,FALSE,"arsenal"
"31",0.000755707413534315,"2016-07-01",-0.00467515429639209,-11,FALSE,"arsenal"
"32",0.000755707413534315,"2016-08-01",-0.00994972434248086,-10,FALSE,"arsenal"
"33",0.000755707413534315,"2016-09-01",-0.0135508589541878,-9,FALSE,"arsenal"
"34",0.000755707413534315,"2016-10-01",0.00659900796202728,-8,FALSE,"arsenal"
"35",0.000755707413534315,"2016-11-01",-0.000858695676116586,-7,FALSE,"arsenal"
"36",0.000755707413534315,"2016-12-01",-0.00564712043718688,-6,FALSE,"arsenal"
"37",0.000755707413534315,"2017-01-01",0.00518643809116674,-5,FALSE,"arsenal"
"38",0.000755707413534315,"2017-02-01",-0.0110137232079161,-4,FALSE,"arsenal"
"39",0.000755707413534315,"2017-03-01",0.00769238233603087,-3,FALSE,"arsenal"
"40",0.000755707413534315,"2017-04-01",-0.0219326474569886,-2,FALSE,"arsenal"
"41",0.000755707413534315,"2017-05-01",0.00577679245276012,-1,FALSE,"arsenal"
"42",0.000755707413534315,"2017-06-01",0.00056219232093084,0,TRUE,"arsenal"
"43",0.000755707413534315,"2017-07-01",0.043476600496891,1,TRUE,"arsenal"
"44",0.000755707413534315,"2017-08-01",0.0241629472282557,2,TRUE,"arsenal"
"45",0.000755707413534315,"2017-09-01",-0.0402684886144153,3,TRUE,"arsenal"
"46",0.000755707413534315,"2017-10-01",-0.0277723595292574,4,TRUE,"arsenal"
"47",0.000755707413534315,"2017-11-01",0.0370688102547221,5,TRUE,"arsenal"
"48",0.000755707413534315,"2017-12-01",-0.0432377052358551,6,TRUE,"arsenal"
"49",0.000755707413534315,"2018-01-01",-0.0472284878897565,7,TRUE,"arsenal"
"50",0.000755707413534315,"2018-02-01",0.00534551995343235,8,TRUE,"arsenal"
"51",0.000755707413534315,"2018-03-01",-0.0207473768233436,9,TRUE,"arsenal"
"52",0.000755707413534315,"2018-04-01",-0.0189841402599613,10,TRUE,"arsenal"
"53",0.000755707413534315,"2018-05-01",0.0473919169017277,11,TRUE,"arsenal"
"54",0.000755707413534315,"2018-06-01",0.0229017788290655,12,TRUE,"arsenal"
"55",0.000755707413534315,"2018-07-01",0.0199876342481312,13,TRUE,"arsenal"
"56",0.000755707413534315,"2018-08-01",0.00848325422984414,14,TRUE,"arsenal"
"57",0.0452889232435535,"2014-01-01",-0.00959256907995124,-41,FALSE,"chelsea"
"58",0.0452889232435535,"2014-02-01",-0.0376902324593551,-40,FALSE,"chelsea"
"59",0.0452889232435535,"2014-03-01",-0.00623412143906597,-39,FALSE,"chelsea"
"60",0.0452889232435535,"2014-04-01",0.00680788706663528,-38,FALSE,"chelsea"
"61",0.0452889232435535,"2014-05-01",0.0805913687913006,-37,FALSE,"chelsea"
"62",0.0452889232435535,"2014-06-01",-0.0113669897048516,-36,FALSE,"chelsea"
"63",0.0452889232435535,"2014-07-01",0.00892368129020535,-35,FALSE,"chelsea"
"64",0.0452889232435535,"2014-08-01",0.00338103846936741,-34,FALSE,"chelsea"
"65",0.0452889232435535,"2014-09-01",-0.000752096436442848,-33,FALSE,"chelsea"
"66",0.0452889232435535,"2014-10-01",0.00115068625606777,-32,FALSE,"chelsea"
"67",0.0452889232435535,"2014-11-01",0.00301452194727519,-31,FALSE,"chelsea"
"68",0.0452889232435535,"2014-12-01",0.00127815912390642,-30,FALSE,"chelsea"
"69",0.0452889232435535,"2015-01-01",-0.00439426377069762,-29,FALSE,"chelsea"
"70",0.0452889232435535,"2015-02-01",-0.000974068231654744,-28,FALSE,"chelsea"
"71",0.0452889232435535,"2015-03-01",0.000471051817129402,-27,FALSE,"chelsea"
"72",0.0452889232435535,"2015-04-01",-0.00866298818593503,-26,FALSE,"chelsea"
"73",0.0452889232435535,"2015-05-01",-0.0051765237376361,-25,FALSE,"chelsea"
"74",0.0452889232435535,"2015-06-01",-0.00830897342051838,-24,FALSE,"chelsea"
"75",0.0452889232435535,"2015-07-01",-0.00101418279501096,-23,FALSE,"chelsea"
"76",0.0452889232435535,"2015-08-01",-0.00970656438484862,-22,FALSE,"chelsea"
"77",0.0452889232435535,"2015-09-01",-0.0136761204347971,-21,FALSE,"chelsea"
"78",0.0452889232435535,"2015-10-01",0.000235600149272713,-20,FALSE,"chelsea"
"79",0.0452889232435535,"2015-11-01",-0.015886169343758,-19,FALSE,"chelsea"
"80",0.0452889232435535,"2015-12-01",0.00477227146841903,-18,FALSE,"chelsea"
"81",0.0452889232435535,"2016-01-01",-0.011082683336097,-17,FALSE,"chelsea"
"82",0.0452889232435535,"2016-02-01",0.00230317692006583,-16,FALSE,"chelsea"
"83",0.0452889232435535,"2016-03-01",0.00936086585090519,-15,FALSE,"chelsea"
"84",0.0452889232435535,"2016-04-01",-0.0091110477459429,-14,FALSE,"chelsea"
"85",0.0452889232435535,"2016-05-01",0.0505791186382968,-13,FALSE,"chelsea"
"86",0.0452889232435535,"2016-06-01",-0.0248483892392089,-12,FALSE,"chelsea"
"87",0.0452889232435535,"2016-07-01",0.0285167480155329,-11,FALSE,"chelsea"
"88",0.0452889232435535,"2016-08-01",-0.0203471107511131,-10,FALSE,"chelsea"
"89",0.0452889232435535,"2016-09-01",-0.0161495614934109,-9,FALSE,"chelsea"
"90",0.0452889232435535,"2016-10-01",-0.0264857695786651,-8,FALSE,"chelsea"
"91",0.0452889232435535,"2016-11-01",-0.0315308807124389,-7,FALSE,"chelsea"
"92",0.0452889232435535,"2016-12-01",-0.0176007980844176,-6,FALSE,"chelsea"
"93",0.0452889232435535,"2017-01-01",0.0195897354060391,-5,FALSE,"chelsea"
"94",0.0452889232435535,"2017-02-01",0.0406611934018041,-4,FALSE,"chelsea"
"95",0.0452889232435535,"2017-03-01",-0.0266915015046154,-3,FALSE,"chelsea"
"96",0.0452889232435535,"2017-04-01",0.0464538513391019,-2,FALSE,"chelsea"
"97",0.0452889232435535,"2017-05-01",-0.0082167656492258,-1,FALSE,"chelsea"
"98",0.0452889232435535,"2017-06-01",0.0174505237241719,0,TRUE,"chelsea"
"99",0.0452889232435535,"2017-07-01",-0.0285374381284627,1,TRUE,"chelsea"
"100",0.0452889232435535,"2017-08-01",-0.0933815167502825,2,TRUE,"chelsea"
"101",0.0452889232435535,"2017-09-01",-0.020838511125438,3,TRUE,"chelsea"
"102",0.0452889232435535,"2017-10-01",0.0484673706240004,4,TRUE,"chelsea"
"103",0.0452889232435535,"2017-11-01",-0.0744654576341707,5,TRUE,"chelsea"
"104",0.0452889232435535,"2017-12-01",0.209030356296795,6,TRUE,"chelsea"
"105",0.0452889232435535,"2018-01-01",0.120014711401152,7,TRUE,"chelsea"
"106",0.0452889232435535,"2018-02-01",-0.000606071797278396,8,TRUE,"chelsea"
"107",0.0452889232435535,"2018-03-01",0.128495500038205,9,TRUE,"chelsea"
"108",0.0452889232435535,"2018-04-01",0.164408191905813,10,TRUE,"chelsea"
"109",0.0452889232435535,"2018-05-01",0.0454063096864172,11,TRUE,"chelsea"
"110",0.0452889232435535,"2018-06-01",0.044006012630956,12,TRUE,"chelsea"
"111",0.0452889232435535,"2018-07-01",0.0358580291957941,13,TRUE,"chelsea"
"112",0.0452889232435535,"2018-08-01",0.0561874390662473,14,TRUE,"chelsea"
"113",-0.0140228729394639,"2014-01-01",0.00448916301782248,-41,FALSE,"city"
"114",-0.0140228729394639,"2014-02-01",0.0368281225409237,-40,FALSE,"city"
"115",-0.0140228729394639,"2014-03-01",-0.0416001084943835,-39,FALSE,"city"
"116",-0.0140228729394639,"2014-04-01",-0.0290597692293651,-38,FALSE,"city"
"117",-0.0140228729394639,"2014-05-01",-0.0193066749429759,-37,FALSE,"city"
"118",-0.0140228729394639,"2014-06-01",0.00898838627353887,-36,FALSE,"city"
"119",-0.0140228729394639,"2014-07-01",-0.0219939192858959,-35,FALSE,"city"
"120",-0.0140228729394639,"2014-08-01",-0.0267725205249946,-34,FALSE,"city"
"121",-0.0140228729394639,"2014-09-01",-0.0360721795080966,-33,FALSE,"city"
"122",-0.0140228729394639,"2014-10-01",-0.00568504527037662,-32,FALSE,"city"
"123",-0.0140228729394639,"2014-11-01",0.0139731219850641,-31,FALSE,"city"
"124",-0.0140228729394639,"2014-12-01",-0.0464708779773437,-30,FALSE,"city"
"125",-0.0140228729394639,"2015-01-01",-0.0351789810053918,-29,FALSE,"city"
"126",-0.0140228729394639,"2015-02-01",-0.0352728784597967,-28,FALSE,"city"
"127",-0.0140228729394639,"2015-03-01",-0.00800342719132144,-27,FALSE,"city"
"128",-0.0140228729394639,"2015-04-01",0.000692266765502589,-26,FALSE,"city"
"129",-0.0140228729394639,"2015-05-01",-0.0380691383476052,-25,FALSE,"city"
"130",-0.0140228729394639,"2015-06-01",0.0479949786803461,-24,FALSE,"city"
"131",-0.0140228729394639,"2015-07-01",-0.0318351271023462,-23,FALSE,"city"
"132",-0.0140228729394639,"2015-08-01",0.0362628317790268,-22,FALSE,"city"
"133",-0.0140228729394639,"2015-09-01",0.0546370450654295,-21,FALSE,"city"
"134",-0.0140228729394639,"2015-10-01",-0.004485373750514,-20,FALSE,"city"
"135",-0.0140228729394639,"2015-11-01",-0.00400321741615509,-19,FALSE,"city"
"136",-0.0140228729394639,"2015-12-01",0.00866805436644872,-18,FALSE,"city"
"137",-0.0140228729394639,"2016-01-01",-0.0136805837542323,-17,FALSE,"city"
"138",-0.0140228729394639,"2016-02-01",-0.0260390248734654,-16,FALSE,"city"
"139",-0.0140228729394639,"2016-03-01",-0.0254584088908664,-15,FALSE,"city"
"140",-0.0140228729394639,"2016-04-01",-0.0122659420393359,-14,FALSE,"city"
"141",-0.0140228729394639,"2016-05-01",0.0153829886713895,-13,FALSE,"city"
"142",-0.0140228729394639,"2016-06-01",0.0449477079037014,-12,FALSE,"city"
"143",-0.0140228729394639,"2016-07-01",0.0386602446730472,-11,FALSE,"city"
"144",-0.0140228729394639,"2016-08-01",0.0363977991049604,-10,FALSE,"city"
"145",-0.0140228729394639,"2016-09-01",0.00136369517166327,-9,FALSE,"city"
"146",-0.0140228729394639,"2016-10-01",-0.00177722608827968,-8,FALSE,"city"
"147",-0.0140228729394639,"2016-11-01",0.0710216853792994,-7,FALSE,"city"
"148",-0.0140228729394639,"2016-12-01",0.0144717864923191,-6,FALSE,"city"
"149",-0.0140228729394639,"2017-01-01",0.012266593163126,-5,FALSE,"city"
"150",-0.0140228729394639,"2017-02-01",0.00225800294776338,-4,FALSE,"city"
"151",-0.0140228729394639,"2017-03-01",0.00795285260212725,-3,FALSE,"city"
"152",-0.0140228729394639,"2017-04-01",0.0069945429611992,-2,FALSE,"city"
"153",-0.0140228729394639,"2017-05-01",-0.00346054854799101,-1,FALSE,"city"
"154",-0.0140228729394639,"2017-06-01",0.0046145043456077,0,TRUE,"city"
"155",-0.0140228729394639,"2017-07-01",-0.0412786442966155,1,TRUE,"city"
"156",-0.0140228729394639,"2017-08-01",0.0605338795722085,2,TRUE,"city"
"157",-0.0140228729394639,"2017-09-01",0.0490188912325462,3,TRUE,"city"
"158",-0.0140228729394639,"2017-10-01",0.0152397345076559,4,TRUE,"city"
"159",-0.0140228729394639,"2017-11-01",0.0667398252951875,5,TRUE,"city"
"160",-0.0140228729394639,"2017-12-01",-0.0467199326205644,6,TRUE,"city"
"161",-0.0140228729394639,"2018-01-01",0.0412568177368567,7,TRUE,"city"
"162",-0.0140228729394639,"2018-02-01",-0.107021647402864,8,TRUE,"city"
"163",-0.0140228729394639,"2018-03-01",-0.0939040628955051,9,TRUE,"city"
"164",-0.0140228729394639,"2018-04-01",-0.059591028414748,10,TRUE,"city"
"165",-0.0140228729394639,"2018-05-01",-0.0285726520883385,11,TRUE,"city"
"166",-0.0140228729394639,"2018-06-01",0.00928910136608033,12,TRUE,"city"
"167",-0.0140228729394639,"2018-07-01",0.0239860726250796,13,TRUE,"city"
"168",-0.0140228729394639,"2018-08-01",-0.0852965757694735,14,TRUE,"city"
"169",-0.00593823939144152,"2014-01-01",0.0118315351465301,-41,FALSE,"everton"
"170",-0.00593823939144152,"2014-02-01",-0.0477286207650388,-40,FALSE,"everton"
"171",-0.00593823939144152,"2014-03-01",-0.00744483317210679,-39,FALSE,"everton"
"172",-0.00593823939144152,"2014-04-01",0.000985010022770044,-38,FALSE,"everton"
"173",-0.00593823939144152,"2014-05-01",-0.0387174058468099,-37,FALSE,"everton"
"174",-0.00593823939144152,"2014-06-01",0.02701668682404,-36,FALSE,"everton"
"175",-0.00593823939144152,"2014-07-01",-0.00495302689801526,-35,FALSE,"everton"
"176",-0.00593823939144152,"2014-08-01",-0.0112410789902534,-34,FALSE,"everton"
"177",-0.00593823939144152,"2014-09-01",0.00475172648721883,-33,FALSE,"everton"
"178",-0.00593823939144152,"2014-10-01",-0.0142927515776573,-32,FALSE,"everton"
"179",-0.00593823939144152,"2014-11-01",0.00703850958137511,-31,FALSE,"everton"
"180",-0.00593823939144152,"2014-12-01",0.0579189591641133,-30,FALSE,"everton"
"181",-0.00593823939144152,"2015-01-01",0.0427356510685642,-29,FALSE,"everton"
"182",-0.00593823939144152,"2015-02-01",0.000731368742314636,-28,FALSE,"everton"
"183",-0.00593823939144152,"2015-03-01",0.0528114022198833,-27,FALSE,"everton"
"184",-0.00593823939144152,"2015-04-01",0.025166693555281,-26,FALSE,"everton"
"185",-0.00593823939144152,"2015-05-01",-0.000546471481317506,-25,FALSE,"everton"
"186",-0.00593823939144152,"2015-06-01",-0.0149259782542583,-24,FALSE,"everton"
"187",-0.00593823939144152,"2015-07-01",0.0521549124670077,-23,FALSE,"everton"
"188",-0.00593823939144152,"2015-08-01",0.0128337271710327,-22,FALSE,"everton"
"189",-0.00593823939144152,"2015-09-01",-0.0059897628930842,-21,FALSE,"everton"
"190",-0.00593823939144152,"2015-10-01",0.0334821683917838,-20,FALSE,"everton"
"191",-0.00593823939144152,"2015-11-01",-0.0268246222497131,-19,FALSE,"everton"
"192",-0.00593823939144152,"2015-12-01",-0.0317454655304243,-18,FALSE,"everton"
"193",-0.00593823939144152,"2016-01-01",0.0302656232361916,-17,FALSE,"everton"
"194",-0.00593823939144152,"2016-02-01",-0.0323959117073682,-16,FALSE,"everton"
"195",-0.00593823939144152,"2016-03-01",0.0043721977462384,-15,FALSE,"everton"
"196",-0.00593823939144152,"2016-04-01",-0.0200853758733707,-14,FALSE,"everton"
"197",-0.00593823939144152,"2016-05-01",-0.0429692352407853,-13,FALSE,"everton"
"198",-0.00593823939144152,"2016-06-01",0.00950113896958626,-12,FALSE,"everton"
"199",-0.00593823939144152,"2016-07-01",-0.0250793033231798,-11,FALSE,"everton"
"200",-0.00593823939144152,"2016-08-01",0.0516770752482617,-10,FALSE,"everton"
"201",-0.00593823939144152,"2016-09-01",0.108717018106905,-9,FALSE,"everton"
"202",-0.00593823939144152,"2016-10-01",-0.0469853962049415,-8,FALSE,"everton"
"203",-0.00593823939144152,"2016-11-01",-0.0416272865100565,-7,FALSE,"everton"
"204",-0.00593823939144152,"2016-12-01",2.44825400688709e-06,-6,FALSE,"everton"
"205",-0.00593823939144152,"2017-01-01",-0.0485956663009439,-5,FALSE,"everton"
"206",-0.00593823939144152,"2017-02-01",-0.0315586807836622,-4,FALSE,"everton"
"207",-0.00593823939144152,"2017-03-01",0.00422730284078265,-3,FALSE,"everton"
"208",-0.00593823939144152,"2017-04-01",-0.0161522881136796,-2,FALSE,"everton"
"209",-0.00593823939144152,"2017-05-01",0.00333139217197614,-1,FALSE,"everton"
"210",-0.00593823939144152,"2017-06-01",-0.0349291251074421,0,TRUE,"everton"
"211",-0.00593823939144152,"2017-07-01",0.0578965335764437,1,TRUE,"everton"
"212",-0.00593823939144152,"2017-08-01",-0.00706931202473404,2,TRUE,"everton"
"213",-0.00593823939144152,"2017-09-01",-0.0185871060976988,3,TRUE,"everton"
"214",-0.00593823939144152,"2017-10-01",-0.0404396184570414,4,TRUE,"everton"
"215",-0.00593823939144152,"2017-11-01",-0.1626055782552,5,TRUE,"everton"
"216",-0.00593823939144152,"2017-12-01",-0.0343843314296932,6,TRUE,"everton"
"217",-0.00593823939144152,"2018-01-01",-0.0844695615531463,7,TRUE,"everton"
"218",-0.00593823939144152,"2018-02-01",0.104084290680718,8,TRUE,"everton"
"219",-0.00593823939144152,"2018-03-01",0.116313163451583,9,TRUE,"everton"
"220",-0.00593823939144152,"2018-04-01",0.0232783848666569,10,TRUE,"everton"
"221",-0.00593823939144152,"2018-05-01",0.00588684022465594,11,TRUE,"everton"
"222",-0.00593823939144152,"2018-06-01",-0.0429127117613125,12,TRUE,"everton"
"223",-0.00593823939144152,"2018-07-01",-0.088631015673747,13,TRUE,"everton"
"224",-0.00593823939144152,"2018-08-01",0.0885046709723351,14,TRUE,"everton"
"225",-0.0192366946831897,"2014-01-01",-0.0553720649170706,-41,FALSE,"manutd"
"226",-0.0192366946831897,"2014-02-01",0.00592410582465805,-40,FALSE,"manutd"
"227",-0.0192366946831897,"2014-03-01",0.0206961241471978,-39,FALSE,"manutd"
"228",-0.0192366946831897,"2014-04-01",-0.0306336156215769,-38,FALSE,"manutd"
"229",-0.0192366946831897,"2014-05-01",0.00513653193315082,-37,FALSE,"manutd"
"230",-0.0192366946831897,"2014-06-01",0.0194347356627427,-36,FALSE,"manutd"
"231",-0.0192366946831897,"2014-07-01",0.00552992048362808,-35,FALSE,"manutd"
"232",-0.0192366946831897,"2014-08-01",0.0274377346546753,-34,FALSE,"manutd"
"233",-0.0192366946831897,"2014-09-01",0.0240180164208212,-33,FALSE,"manutd"
"234",-0.0192366946831897,"2014-10-01",-0.0348477018043952,-32,FALSE,"manutd"
"235",-0.0192366946831897,"2014-11-01",-0.0186307066608388,-31,FALSE,"manutd"
"236",-0.0192366946831897,"2014-12-01",-0.00814827296608106,-30,FALSE,"manutd"
"237",-0.0192366946831897,"2015-01-01",0.0209286915127379,-29,FALSE,"manutd"
"238",-0.0192366946831897,"2015-02-01",0.0278142356904308,-28,FALSE,"manutd"
"239",-0.0192366946831897,"2015-03-01",-0.0323907896190367,-27,FALSE,"manutd"
"240",-0.0192366946831897,"2015-04-01",-0.00136259707993405,-26,FALSE,"manutd"
