date,hate_crimes,muslim_crimes,county
2015-01-01,101,NA,avon_somerset
2015-02-01,105,NA,avon_somerset
2015-03-01,135,NA,avon_somerset
2015-04-01,132,NA,avon_somerset
2015-05-01,135,NA,avon_somerset
2015-06-01,155,NA,avon_somerset
2015-07-01,131,NA,avon_somerset
2015-08-01,137,NA,avon_somerset
2015-09-01,119,NA,avon_somerset
2015-10-01,114,NA,avon_somerset
2015-11-01,108,NA,avon_somerset
2015-12-01,119,NA,avon_somerset
2016-01-01,114,NA,avon_somerset
2016-02-01,130,NA,avon_somerset
2016-03-01,147,NA,avon_somerset
2016-04-01,164,NA,avon_somerset
2016-05-01,141,NA,avon_somerset
2016-06-01,205,NA,avon_somerset
2016-07-01,249,NA,avon_somerset
2016-08-01,199,NA,avon_somerset
2016-09-01,179,NA,avon_somerset
2016-10-01,168,NA,avon_somerset
2016-11-01,157,NA,avon_somerset
2016-12-01,143,NA,avon_somerset
2017-01-01,135,NA,avon_somerset
2017-02-01,155,NA,avon_somerset
2017-03-01,210,NA,avon_somerset
2017-04-01,205,NA,avon_somerset
2017-05-01,224,NA,avon_somerset
2017-06-01,238,NA,avon_somerset
2017-07-01,246,NA,avon_somerset
2017-08-01,213,NA,avon_somerset
2017-09-01,198,NA,avon_somerset
2017-10-01,183,NA,avon_somerset
2017-11-01,165,NA,avon_somerset
2017-12-01,173,NA,avon_somerset
2018-01-01,144,NA,avon_somerset
2018-02-01,138,NA,avon_somerset
2018-03-01,179,NA,avon_somerset
2018-04-01,179,NA,avon_somerset
2018-05-01,190,NA,avon_somerset
