date,hate_crimes,muslim_crimes,county
2015-01-01,69,0,bedfordshire
2015-02-01,54,1,bedfordshire
2015-03-01,62,0,bedfordshire
2015-04-01,85,1,bedfordshire
2015-05-01,68,0,bedfordshire
2015-06-01,91,4,bedfordshire
2015-07-01,82,0,bedfordshire
2015-08-01,57,2,bedfordshire
2015-09-01,49,2,bedfordshire
2015-10-01,61,2,bedfordshire
2015-11-01,66,3,bedfordshire
2015-12-01,72,3,bedfordshire
2016-01-01,50,2,bedfordshire
2016-02-01,55,1,bedfordshire
2016-03-01,63,2,bedfordshire
2016-04-01,75,10,bedfordshire
2016-05-01,83,6,bedfordshire
2016-06-01,84,4,bedfordshire
2016-07-01,109,4,bedfordshire
2016-08-01,86,3,bedfordshire
2016-09-01,86,4,bedfordshire
2016-10-01,73,4,bedfordshire
2016-11-01,50,1,bedfordshire
2016-12-01,57,3,bedfordshire
2017-01-01,64,4,bedfordshire
2017-02-01,61,2,bedfordshire
2017-03-01,73,7,bedfordshire
2017-04-01,90,5,bedfordshire
2017-05-01,96,10,bedfordshire
2017-06-01,159,37,bedfordshire
2017-07-01,116,7,bedfordshire
2017-08-01,124,4,bedfordshire
2017-09-01,89,3,bedfordshire
2017-10-01,99,2,bedfordshire
2017-11-01,74,3,bedfordshire
2017-12-01,87,6,bedfordshire
2018-01-01,88,5,bedfordshire
2018-02-01,86,6,bedfordshire
2018-03-01,114,5,bedfordshire
2018-04-01,97,0,bedfordshire
2018-05-01,84,4,bedfordshire
