date,hate_crimes,muslim_crimes,county
2016-05-01,NA,3,cambridgeshire
2016-06-01,NA,6,cambridgeshire
2016-07-01,NA,8,cambridgeshire
2016-08-01,NA,5,cambridgeshire
2016-10-01,NA,3,cambridgeshire
2016-11-01,NA,4,cambridgeshire
2016-12-01,NA,5,cambridgeshire
2017-01-01,NA,4,cambridgeshire
2017-02-01,NA,4,cambridgeshire
2017-03-01,NA,5,cambridgeshire
2017-04-01,NA,3,cambridgeshire
2017-05-01,NA,4,cambridgeshire
2017-06-01,NA,11,cambridgeshire
2017-07-01,NA,6,cambridgeshire
2017-08-01,NA,1,cambridgeshire
2017-09-01,NA,3,cambridgeshire
2017-10-01,NA,4,cambridgeshire
2017-11-01,NA,3,cambridgeshire
