date,hate_crimes,muslim_crimes,county
2014-04-01,55,NA,cheshire
2014-05-01,55,NA,cheshire
2014-06-01,60,NA,cheshire
2014-07-01,52,NA,cheshire
2014-08-01,53,NA,cheshire
2014-09-01,71,NA,cheshire
2014-10-01,72,NA,cheshire
2014-11-01,53,NA,cheshire
2014-12-01,39,NA,cheshire
2015-01-01,44,NA,cheshire
2015-02-01,40,NA,cheshire
2015-03-01,62,NA,cheshire
2015-04-01,87,NA,cheshire
2015-05-01,72,NA,cheshire
2015-06-01,66,NA,cheshire
2015-07-01,63,NA,cheshire
2015-08-01,58,NA,cheshire
2015-09-01,66,NA,cheshire
2015-10-01,65,NA,cheshire
2015-11-01,71,NA,cheshire
2015-12-01,66,NA,cheshire
2016-01-01,57,NA,cheshire
2016-02-01,64,NA,cheshire
2016-03-01,53,NA,cheshire
2016-04-01,65,NA,cheshire
2016-05-01,95,NA,cheshire
2016-06-01,104,NA,cheshire
2016-07-01,101,NA,cheshire
2016-08-01,104,NA,cheshire
2016-09-01,104,NA,cheshire
2016-10-01,99,NA,cheshire
2016-11-01,109,NA,cheshire
2016-12-01,66,NA,cheshire
2017-01-01,60,NA,cheshire
2017-02-01,85,NA,cheshire
2017-03-01,88,NA,cheshire
