date,hate_crimes,muslim_crimes,county
2015-01-01,3,NA,cleveland
2015-02-01,2,NA,cleveland
2015-06-01,1,NA,cleveland
2015-08-01,1,NA,cleveland
2015-11-01,1,NA,cleveland
2016-01-01,2,NA,cleveland
2016-02-01,3,NA,cleveland
2016-03-01,2,NA,cleveland
2016-04-01,5,NA,cleveland
2016-05-01,1,NA,cleveland
2016-06-01,2,NA,cleveland
2016-08-01,1,NA,cleveland
2016-09-01,1,NA,cleveland
2016-12-01,1,NA,cleveland
2017-03-01,3,NA,cleveland
2017-04-01,2,NA,cleveland
2017-05-01,2,NA,cleveland
2017-06-01,3,NA,cleveland
2017-07-01,1,NA,cleveland
2017-10-01,2,NA,cleveland
2017-11-01,1,NA,cleveland
2017-12-01,2,NA,cleveland
2018-01-01,1,NA,cleveland
2018-02-01,1,NA,cleveland
2018-03-01,1,NA,cleveland
2018-04-01,1,NA,cleveland
