date,muslim_crimes,hate_crimes,county
2015-11-1,2,39,derbyshire
2015-12-1,1,53,derbyshire
2015-5-1,1,36,derbyshire
2015-6-1,1,54,derbyshire
2015-9-1,1,35,derbyshire
2016-10-1,2,38,derbyshire
2016-2-1,1,41,derbyshire
2016-4-1,2,39,derbyshire
2016-6-1,2,59,derbyshire
2016-9-1,1,58,derbyshire
2017-2-1,1,55,derbyshire
2017-4-1,1,48,derbyshire
2017-5-1,1,81,derbyshire
2017-6-1,2,56,derbyshire
2017-7-1,1,54,derbyshire
2018-1-1,2,62,derbyshire
2015-1-1,,35,derbyshire
2015-10-1,,49,derbyshire
2015-2-1,,40,derbyshire
2015-3-1,,42,derbyshire
2015-4-1,,44,derbyshire
2015-7-1,,57,derbyshire
2015-8-1,,48,derbyshire
2016-1-1,,34,derbyshire
2016-11-1,,45,derbyshire
2016-12-1,,38,derbyshire
2016-3-1,,48,derbyshire
2016-5-1,,57,derbyshire
2016-7-1,,73,derbyshire
2016-8-1,,58,derbyshire
2017-1-1,,37,derbyshire
2017-10-1,,72,derbyshire
2017-11-1,,63,derbyshire
2017-12-1,,64,derbyshire
2017-3-1,,51,derbyshire
2017-8-1,,61,derbyshire
2017-9-1,,58,derbyshire
2018-2-1,,50,derbyshire
2018-3-1,,52,derbyshire
2018-4-1,,48,derbyshire
2018-5-1,,79,derbyshire
