date,hate_crimes,muslim_crimes,county
2015-01-01,2,NA,dorset
2015-02-01,0,NA,dorset
2015-03-01,0,NA,dorset
2015-04-01,0,NA,dorset
2015-05-01,0,NA,dorset
2015-06-01,0,NA,dorset
2015-07-01,1,NA,dorset
2015-08-01,1,NA,dorset
2015-09-01,0,NA,dorset
2015-10-01,0,NA,dorset
2015-11-01,1,NA,dorset
2015-12-01,0,NA,dorset
2016-01-01,1,NA,dorset
2016-02-01,0,NA,dorset
2016-03-01,1,NA,dorset
2016-04-01,0,NA,dorset
2016-05-01,0,NA,dorset
2016-06-01,1,NA,dorset
2016-07-01,5,NA,dorset
2016-08-01,5,NA,dorset
2016-09-01,0,NA,dorset
2016-10-01,1,NA,dorset
2016-11-01,2,NA,dorset
2016-12-01,2,NA,dorset
2017-01-01,0,NA,dorset
2017-02-01,0,NA,dorset
2017-03-01,3,NA,dorset
2017-04-01,0,NA,dorset
2017-05-01,7,NA,dorset
2017-06-01,6,NA,dorset
2017-07-01,6,NA,dorset
2017-08-01,5,NA,dorset
2017-09-01,2,NA,dorset
2017-10-01,0,NA,dorset
2017-11-01,4,NA,dorset
2017-12-01,1,NA,dorset
2018-01-01,3,NA,dorset
2018-02-01,2,NA,dorset
2018-03-01,3,NA,dorset
2018-04-01,1,NA,dorset
