date,hate_crimes,muslim_crimes,county
2015-1-1,12,0,durham
2015-10-1,20,2,durham
2015-11-1,23,2,durham
2015-12-1,27,0,durham
2015-2-1,13,0,durham
2015-3-1,21,0,durham
2015-4-1,10,0,durham
2015-5-1,15,0,durham
2015-6-1,16,0,durham
2015-7-1,17,0,durham
2015-8-1,20,1,durham
2015-9-1,23,2,durham
2016-1-1,25,0,durham
2016-10-1,21,0,durham
2016-11-1,40,1,durham
2016-12-1,22,2,durham
2016-2-1,25,3,durham
2016-3-1,15,0,durham
2016-4-1,16,2,durham
2016-5-1,21,0,durham
2016-6-1,30,0,durham
2016-7-1,34,2,durham
2016-8-1,19,1,durham
2016-9-1,27,3,durham
2017-1-1,35,0,durham
2017-10-1,33,1,durham
2017-11-1,39,5,durham
2017-12-1,36,1,durham
2017-2-1,43,4,durham
2017-3-1,26,0,durham
2017-4-1,35,1,durham
2017-5-1,37,3,durham
2017-6-1,56,8,durham
2017-7-1,39,3,durham
2017-8-1,38,1,durham
2017-9-1,33,1,durham
2018-1-1,30,0,durham
2018-2-1,34,1,durham
2018-3-1,63,1,durham
2018-4-1,34,1,durham
2018-5-1,18,4,durham
