date,hate_crimes,muslim_crimes,county
2015-01-01,118,NA,hampshire
2015-02-01,137,NA,hampshire
2015-03-01,169,NA,hampshire
2015-04-01,148,NA,hampshire
2015-05-01,169,NA,hampshire
2015-06-01,166,NA,hampshire
2015-07-01,179,NA,hampshire
2015-08-01,172,NA,hampshire
2015-09-01,140,NA,hampshire
2015-10-01,130,NA,hampshire
2015-11-01,144,NA,hampshire
2015-12-01,129,NA,hampshire
2016-01-01,123,NA,hampshire
2016-02-01,123,NA,hampshire
2016-03-01,153,NA,hampshire
2016-04-01,128,NA,hampshire
2016-05-01,166,NA,hampshire
2016-06-01,220,NA,hampshire
2016-07-01,262,NA,hampshire
2016-08-01,218,NA,hampshire
2016-09-01,193,NA,hampshire
2016-10-01,175,NA,hampshire
2016-11-01,147,NA,hampshire
2016-12-01,172,NA,hampshire
2017-01-01,154,NA,hampshire
2017-02-01,141,NA,hampshire
2017-03-01,198,NA,hampshire
2017-04-01,258,NA,hampshire
2017-05-01,243,NA,hampshire
2017-06-01,263,NA,hampshire
2017-07-01,273,NA,hampshire
2017-08-01,204,NA,hampshire
2017-09-01,233,NA,hampshire
2017-10-01,225,NA,hampshire
2017-11-01,197,NA,hampshire
2017-12-01,175,NA,hampshire
2018-01-01,178,NA,hampshire
2018-02-01,147,NA,hampshire
2018-03-01,222,NA,hampshire
2018-04-01,NA,NA,hampshire
2018-05-01,NA,NA,hampshire
