date,hate_crimes,muslim_crimes,county
2015-01-01,5,NA,hertfordshire
2015-04-01,2,NA,hertfordshire
2015-05-01,2,NA,hertfordshire
2015-06-01,3,NA,hertfordshire
2015-07-01,4,NA,hertfordshire
2015-09-01,3,NA,hertfordshire
2015-10-01,3,NA,hertfordshire
2015-11-01,7,NA,hertfordshire
2015-12-01,8,NA,hertfordshire
2016-01-01,4,NA,hertfordshire
2016-03-01,5,NA,hertfordshire
2016-04-01,1,NA,hertfordshire
2016-05-01,7,NA,hertfordshire
2016-06-01,8,NA,hertfordshire
2016-07-01,8,NA,hertfordshire
2016-08-01,4,NA,hertfordshire
2016-09-01,12,NA,hertfordshire
2016-10-01,5,NA,hertfordshire
2016-11-01,4,NA,hertfordshire
2016-12-01,4,NA,hertfordshire
2017-01-01,4,NA,hertfordshire
2017-02-01,6,NA,hertfordshire
2017-03-01,2,NA,hertfordshire
2017-04-01,4,NA,hertfordshire
2017-05-01,6,NA,hertfordshire
2017-06-01,12,NA,hertfordshire
2017-07-01,7,NA,hertfordshire
2017-08-01,5,NA,hertfordshire
2017-09-01,4,NA,hertfordshire
2017-10-01,2,NA,hertfordshire
2017-11-01,3,NA,hertfordshire
2017-12-01,9,NA,hertfordshire
2018-01-01,3,NA,hertfordshire
2018-02-01,6,NA,hertfordshire
2018-03-01,7,NA,hertfordshire
