date,hate_crimes,muslim_crimes,county
2015-01-01,15,NA,humberside
2015-02-01,12,NA,humberside
2015-03-01,12,NA,humberside
2015-04-01,15,NA,humberside
2015-05-01,17,NA,humberside
2015-06-01,14,NA,humberside
2015-07-01,24,NA,humberside
2015-08-01,19,NA,humberside
2015-09-01,13,NA,humberside
2015-10-01,10,NA,humberside
2015-11-01,11,NA,humberside
2015-12-01,15,NA,humberside
2016-01-01,11,NA,humberside
2016-02-01,8,NA,humberside
2016-03-01,19,NA,humberside
2016-04-01,20,NA,humberside
2016-05-01,16,NA,humberside
2016-06-01,19,NA,humberside
2016-07-01,38,NA,humberside
2016-08-01,23,NA,humberside
2016-09-01,24,NA,humberside
2016-10-01,22,NA,humberside
2016-11-01,30,NA,humberside
2016-12-01,15,NA,humberside
2017-01-01,20,NA,humberside
2017-02-01,19,NA,humberside
2017-03-01,26,NA,humberside
2017-04-01,26,NA,humberside
2017-05-01,28,NA,humberside
2017-06-01,49,NA,humberside
2017-07-01,52,NA,humberside
2017-08-01,40,NA,humberside
2017-09-01,39,NA,humberside
2017-10-01,42,NA,humberside
2017-11-01,25,NA,humberside
2017-12-01,34,NA,humberside
