date,hate_crimes,muslim_crimes,county
2015-1-1,54,0,kent
2015-10-1,122,0,kent
2015-11-1,94,0,kent
2015-12-1,93,0,kent
2015-2-1,63,0,kent
2015-3-1,82,0,kent
2015-4-1,99,0,kent
2015-5-1,92,0,kent
2015-6-1,99,0,kent
2015-7-1,98,0,kent
2015-8-1,125,0,kent
2015-9-1,99,0,kent
2016-1-1,88,0,kent
2016-10-1,146,1,kent
2016-11-1,156,0,kent
2016-12-1,147,0,kent
2016-2-1,88,0,kent
2016-3-1,102,0,kent
2016-4-1,126,1,kent
2016-5-1,133,0,kent
2016-6-1,160,0,kent
2016-7-1,211,1,kent
2016-8-1,203,4,kent
2016-9-1,167,2,kent
2017-1-1,154,1,kent
2017-10-1,313,2,kent
2017-11-1,301,0,kent
2017-12-1,252,4,kent
2017-2-1,131,1,kent
2017-3-1,204,2,kent
2017-4-1,206,0,kent
2017-5-1,262,3,kent
2017-6-1,314,7,kent
2017-7-1,336,5,kent
2017-8-1,300,0,kent
2017-9-1,290,4,kent
2018-1-1,243,1,kent
2018-2-1,239,0,kent
2018-3-1,340,0,kent
2018-4-1,347,2,kent
