date,hate_crimes,muslim_crimes,county
2015-1-1,1,0,lancashire
2015-10-1,55,2,lancashire
2015-11-1,65,7,lancashire
2015-12-1,45,2,lancashire
2015-3-1,5,1,lancashire
2015-4-1,36,4,lancashire
2015-5-1,49,0,lancashire
2015-6-1,43,4,lancashire
2015-7-1,54,4,lancashire
2015-8-1,54,2,lancashire
2015-9-1,58,3,lancashire
2016-1-1,52,2,lancashire
2016-10-1,69,6,lancashire
2016-11-1,56,5,lancashire
2016-12-1,57,4,lancashire
2016-2-1,49,4,lancashire
2016-3-1,62,3,lancashire
2016-4-1,56,1,lancashire
2016-5-1,81,3,lancashire
2016-6-1,78,1,lancashire
2016-7-1,80,9,lancashire
2016-8-1,63,2,lancashire
2016-9-1,75,3,lancashire
2017-1-1,69,1,lancashire
2017-10-1,107,6,lancashire
2017-11-1,114,2,lancashire
2017-12-1,151,5,lancashire
2017-2-1,65,1,lancashire
2017-3-1,86,5,lancashire
2017-4-1,109,3,lancashire
2017-5-1,123,9,lancashire
2017-6-1,177,17,lancashire
2017-7-1,148,6,lancashire
2017-8-1,119,6,lancashire
2017-9-1,135,7,lancashire
