date,hate_crimes,muslim_crimes,county
2015-01-01,53,2,leicestershire
2015-02-01,49,3,leicestershire
2015-03-01,51,2,leicestershire
2015-04-01,51,2,leicestershire
2015-05-01,66,4,leicestershire
2015-06-01,82,4,leicestershire
2015-07-01,84,4,leicestershire
2015-08-01,60,4,leicestershire
2015-09-01,68,4,leicestershire
2015-10-01,83,6,leicestershire
2015-11-01,88,13,leicestershire
2015-12-01,84,10,leicestershire
2016-01-01,72,9,leicestershire
2016-02-01,75,3,leicestershire
2016-03-01,81,8,leicestershire
2016-04-01,70,5,leicestershire
2016-05-01,84,6,leicestershire
2016-06-01,75,3,leicestershire
2016-07-01,152,12,leicestershire
2016-08-01,114,12,leicestershire
2016-09-01,112,2,leicestershire
2016-10-01,95,3,leicestershire
2016-11-01,75,7,leicestershire
2016-12-01,76,6,leicestershire
2017-01-01,68,7,leicestershire
2017-02-01,62,2,leicestershire
2017-03-01,94,10,leicestershire
2017-04-01,87,6,leicestershire
2017-05-01,104,12,leicestershire
2017-06-01,149,26,leicestershire
2017-07-01,135,18,leicestershire
2017-08-01,102,7,leicestershire
2017-09-01,123,13,leicestershire
2017-10-01,94,4,leicestershire
2017-11-01,101,12,leicestershire
2017-12-01,76,3,leicestershire
2018-01-01,102,5,leicestershire
2018-02-01,80,1,leicestershire
2018-03-01,73,12,leicestershire
