date,hate_crimes,muslim_crimes,county
2015-01-01,11,NA,lincolnshire
2015-02-01,16,NA,lincolnshire
2015-03-01,26,NA,lincolnshire
2015-04-01,20,NA,lincolnshire
2015-05-01,17,NA,lincolnshire
2015-06-01,32,NA,lincolnshire
2015-07-01,28,NA,lincolnshire
2015-08-01,35,NA,lincolnshire
2015-09-01,25,NA,lincolnshire
2015-10-01,20,NA,lincolnshire
2015-11-01,27,NA,lincolnshire
2015-12-01,39,NA,lincolnshire
2016-01-01,27,NA,lincolnshire
2016-02-01,24,NA,lincolnshire
2016-03-01,24,NA,lincolnshire
2016-04-01,19,NA,lincolnshire
2016-05-01,29,NA,lincolnshire
2016-06-01,30,NA,lincolnshire
2016-07-01,39,NA,lincolnshire
2016-08-01,39,NA,lincolnshire
2016-09-01,34,NA,lincolnshire
2016-10-01,39,NA,lincolnshire
2016-11-01,31,NA,lincolnshire
2016-12-01,35,NA,lincolnshire
2017-01-01,42,NA,lincolnshire
2017-02-01,30,NA,lincolnshire
2017-03-01,35,NA,lincolnshire
2017-04-01,25,NA,lincolnshire
2017-05-01,39,NA,lincolnshire
2017-06-01,45,NA,lincolnshire
2017-07-01,41,NA,lincolnshire
2017-08-01,41,NA,lincolnshire
2017-09-01,40,NA,lincolnshire
2017-10-01,32,NA,lincolnshire
2017-11-01,33,NA,lincolnshire
2017-12-01,40,NA,lincolnshire
