date,hate_crimes,muslim_crimes,county
2015-01-01,1068,80,london
2015-02-01,1075,56,london
2015-03-01,1277,75,london
2015-04-01,1282,58,london
2015-05-01,1375,69,london
2015-06-01,1387,69,london
2015-07-01,1429,83,london
2015-08-01,1449,69,london
2015-09-01,1299,81,london
2015-10-01,1437,94,london
2015-11-01,1524,162,london
2015-12-01,1454,156,london
2016-01-01,1188,99,london
2016-02-01,1292,75,london
2016-03-01,1400,100,london
2016-04-01,1489,99,london
2016-05-01,1626,116,london
2016-06-01,1760,99,london
2016-07-01,2431,160,london
2016-08-01,1855,110,london
2016-09-01,1704,84,london
2016-10-01,1589,91,london
2016-11-01,1467,83,london
2016-12-01,1524,108,london
2017-01-01,1306,80,london
2017-02-01,1313,95,london
2017-03-01,1642,141,london
2017-04-01,1604,86,london
2017-05-01,1702,138,london
2017-06-01,2145,367,london
2017-07-01,1987,221,london
2017-08-01,1754,123,london
2017-09-01,1536,117,london
2017-10-01,1637,122,london
2017-11-01,1396,85,london
2017-12-01,1267,86,london
2018-01-01,1327,100,london
2018-02-01,1244,61,london
2018-03-01,1617,161,london
2018-04-01,1557,112,london
2018-05-01,1743,130,london
2018-06-01,1814,152,london
2018-07-01,1924,97,london
2018-08-01,1494,80,london
