date,hate_crimes,muslim_crimes,county
2015-01-01,280,19,manchester
2015-02-01,291,27,manchester
2015-03-01,326,16,manchester
2015-04-01,381,21,manchester
2015-05-01,373,18,manchester
2015-06-01,385,24,manchester
2015-07-01,382,39,manchester
2015-08-01,370,25,manchester
2015-09-01,354,15,manchester
2015-10-01,326,19,manchester
2015-11-01,318,30,manchester
2015-12-01,322,39,manchester
2016-01-01,328,30,manchester
2016-02-01,295,38,manchester
2016-03-01,310,27,manchester
2016-04-01,359,22,manchester
2016-05-01,351,20,manchester
2016-06-01,447,38,manchester
2016-07-01,501,35,manchester
2016-08-01,414,27,manchester
2016-09-01,415,32,manchester
2016-10-01,461,27,manchester
2016-11-01,353,30,manchester
2016-12-01,407,26,manchester
2017-01-01,447,26,manchester
2017-02-01,387,16,manchester
2017-03-01,542,31,manchester
2017-04-01,523,30,manchester
2017-05-01,888,120,manchester
2017-06-01,977,151,manchester
2017-07-01,777,54,manchester
2017-08-01,670,63,manchester
2017-09-01,578,39,manchester
2017-10-01,654,49,manchester
2017-11-01,547,23,manchester
2017-12-01,534,36,manchester
2018-01-01,551,30,manchester
2018-02-01,495,23,manchester
2018-03-01,510,43,manchester
2018-04-01,546,34,manchester
