date,hate_crimes,muslim_crimes,county
2015-01-01,129,NA,merseyside
2015-02-01,126,NA,merseyside
2015-03-01,193,NA,merseyside
2015-04-01,163,NA,merseyside
2015-05-01,124,NA,merseyside
2015-06-01,147,NA,merseyside
2015-07-01,165,NA,merseyside
2015-08-01,148,NA,merseyside
2015-09-01,145,NA,merseyside
2015-10-01,191,NA,merseyside
2015-11-01,144,NA,merseyside
2015-12-01,124,NA,merseyside
2016-01-01,132,NA,merseyside
2016-02-01,103,NA,merseyside
2016-03-01,147,NA,merseyside
2016-04-01,152,NA,merseyside
2016-05-01,185,NA,merseyside
2016-06-01,173,NA,merseyside
2016-07-01,212,NA,merseyside
2016-08-01,202,NA,merseyside
2016-09-01,205,NA,merseyside
2016-10-01,215,NA,merseyside
2016-11-01,183,NA,merseyside
2016-12-01,147,NA,merseyside
2017-01-01,161,NA,merseyside
2017-02-01,158,NA,merseyside
2017-03-01,212,NA,merseyside
2017-04-01,158,NA,merseyside
2017-05-01,186,NA,merseyside
2017-06-01,224,NA,merseyside
2017-07-01,192,NA,merseyside
2017-08-01,158,NA,merseyside
2017-09-01,167,NA,merseyside
2017-10-01,181,NA,merseyside
2017-11-01,153,NA,merseyside
2017-12-01,134,NA,merseyside
2018-01-01,158,NA,merseyside
2018-02-01,129,NA,merseyside
2018-03-01,172,NA,merseyside
2018-04-01,169,NA,merseyside
