date,hate_crimes,muslim_crimes,county
2015-02-01,29,NA,norfolk
2015-03-01,30,NA,norfolk
2015-04-01,43,NA,norfolk
2015-05-01,43,NA,norfolk
2015-06-01,45,NA,norfolk
2015-07-01,48,NA,norfolk
2015-08-01,32,NA,norfolk
2015-09-01,25,NA,norfolk
2015-10-01,30,NA,norfolk
2015-11-01,24,NA,norfolk
2015-12-01,28,NA,norfolk
2016-01-01,35,NA,norfolk
2016-02-01,42,NA,norfolk
2016-03-01,40,NA,norfolk
2016-04-01,36,NA,norfolk
2016-05-01,49,NA,norfolk
2016-06-01,63,NA,norfolk
2016-07-01,80,NA,norfolk
2016-08-01,57,NA,norfolk
2016-09-01,49,NA,norfolk
2016-10-01,41,NA,norfolk
2016-11-01,35,NA,norfolk
2016-12-01,39,NA,norfolk
2017-01-01,45,NA,norfolk
2017-02-01,33,NA,norfolk
2017-03-01,60,NA,norfolk
2017-04-01,62,NA,norfolk
2017-05-01,60,NA,norfolk
2017-06-01,78,NA,norfolk
2017-07-01,62,NA,norfolk
2017-08-01,43,NA,norfolk
2017-09-01,46,NA,norfolk
2017-10-01,47,NA,norfolk
2017-11-01,46,NA,norfolk
2017-12-01,45,NA,norfolk
2018-01-01,35,NA,norfolk
2018-02-01,54,NA,norfolk
2018-03-01,60,NA,norfolk
2018-04-01,66,NA,norfolk
