date,hate_crimes,muslim_crimes,county
2015-01-01,60,NA,south-yorkshire
2015-02-01,56,NA,south-yorkshire
2015-03-01,54,NA,south-yorkshire
2015-04-01,74,NA,south-yorkshire
2015-05-01,64,NA,south-yorkshire
2015-06-01,77,NA,south-yorkshire
2015-07-01,85,NA,south-yorkshire
2015-08-01,81,NA,south-yorkshire
2015-09-01,70,NA,south-yorkshire
2015-10-01,87,NA,south-yorkshire
2015-11-01,74,NA,south-yorkshire
2015-12-01,87,NA,south-yorkshire
2016-01-01,92,NA,south-yorkshire
2016-02-01,76,NA,south-yorkshire
2016-03-01,110,NA,south-yorkshire
2016-04-01,112,NA,south-yorkshire
2016-05-01,108,NA,south-yorkshire
2016-06-01,101,NA,south-yorkshire
2016-07-01,132,NA,south-yorkshire
2016-08-01,99,NA,south-yorkshire
2016-09-01,109,NA,south-yorkshire
2016-10-01,144,NA,south-yorkshire
2016-11-01,132,NA,south-yorkshire
2016-12-01,150,NA,south-yorkshire
2017-01-01,180,NA,south-yorkshire
2017-02-01,160,NA,south-yorkshire
2017-03-01,166,NA,south-yorkshire
2017-04-01,161,NA,south-yorkshire
2017-05-01,198,NA,south-yorkshire
2017-06-01,221,NA,south-yorkshire
2017-07-01,203,NA,south-yorkshire
2017-08-01,222,NA,south-yorkshire
2017-09-01,177,NA,south-yorkshire
2017-10-01,169,NA,south-yorkshire
2017-11-01,173,NA,south-yorkshire
2017-12-01,22,NA,south-yorkshire
2018-01-01,152,NA,south-yorkshire
2018-02-01,160,NA,south-yorkshire
2018-03-01,214,NA,south-yorkshire
2018-04-01,196,NA,south-yorkshire
