date,hate_crimes,muslim_crimes,county
2015-01-01,97,NA,staffordshire
2015-02-01,103,NA,staffordshire
2015-03-01,141,NA,staffordshire
2015-04-01,142,NA,staffordshire
2015-05-01,132,NA,staffordshire
2015-06-01,157,NA,staffordshire
2015-07-01,178,NA,staffordshire
2015-08-01,166,NA,staffordshire
2015-09-01,166,NA,staffordshire
2015-10-01,165,NA,staffordshire
2015-11-01,167,NA,staffordshire
2015-12-01,166,NA,staffordshire
2016-01-01,155,NA,staffordshire
2016-02-01,140,NA,staffordshire
2016-03-01,174,NA,staffordshire
2016-04-01,163,NA,staffordshire
2016-05-01,183,NA,staffordshire
2016-06-01,221,NA,staffordshire
2016-07-01,258,NA,staffordshire
2016-08-01,229,NA,staffordshire
2016-09-01,181,NA,staffordshire
2016-10-01,234,NA,staffordshire
2016-11-01,199,NA,staffordshire
2016-12-01,181,NA,staffordshire
2017-01-01,205,NA,staffordshire
2017-02-01,151,NA,staffordshire
2017-03-01,263,NA,staffordshire
2017-04-01,270,NA,staffordshire
2017-05-01,298,NA,staffordshire
2017-06-01,363,NA,staffordshire
2017-07-01,256,NA,staffordshire
2017-08-01,235,NA,staffordshire
2017-09-01,213,NA,staffordshire
2017-10-01,264,NA,staffordshire
2017-11-01,266,NA,staffordshire
2017-12-01,203,NA,staffordshire
2018-01-01,206,NA,staffordshire
2018-02-01,180,NA,staffordshire
2018-03-01,222,NA,staffordshire
2018-04-01,215,NA,staffordshire
