date,hate_crimes,muslim_crimes,county
2015-01-01,27,NA,suffolk
2015-02-01,18,NA,suffolk
2015-03-01,33,NA,suffolk
2015-04-01,47,NA,suffolk
2015-05-01,47,NA,suffolk
2015-06-01,33,NA,suffolk
2015-07-01,34,NA,suffolk
2015-08-01,35,NA,suffolk
2015-09-01,28,NA,suffolk
2015-10-01,19,NA,suffolk
2015-11-01,21,NA,suffolk
2015-12-01,33,NA,suffolk
2016-01-01,30,NA,suffolk
2016-02-01,37,NA,suffolk
2016-03-01,34,NA,suffolk
2016-04-01,32,NA,suffolk
2016-05-01,39,NA,suffolk
2016-06-01,52,NA,suffolk
2016-07-01,72,NA,suffolk
2016-08-01,46,NA,suffolk
2016-09-01,44,NA,suffolk
2016-10-01,48,NA,suffolk
2016-11-01,47,NA,suffolk
2016-12-01,48,NA,suffolk
2017-01-01,41,NA,suffolk
2017-02-01,44,NA,suffolk
2017-03-01,39,NA,suffolk
2017-04-01,48,NA,suffolk
2017-05-01,53,NA,suffolk
2017-06-01,65,NA,suffolk
2017-07-01,74,NA,suffolk
2017-08-01,67,NA,suffolk
2017-09-01,75,NA,suffolk
2017-10-01,74,NA,suffolk
2017-11-01,41,NA,suffolk
2017-12-01,40,NA,suffolk
2018-01-01,36,NA,suffolk
2018-02-01,47,NA,suffolk
2018-03-01,43,NA,suffolk
2018-04-01,47,NA,suffolk
