date,hate_crimes,muslim_crimes,county
2010-04-01,24,NA,warwickshire
2011-04-01,27,NA,warwickshire
2012-04-01,28,NA,warwickshire
2013-04-01,25,NA,warwickshire
2014-04-01,11,NA,warwickshire
2015-04-01,31,NA,warwickshire
2016-04-01,52,NA,warwickshire
2017-04-01,66,NA,warwickshire
2010-05-01,40,NA,warwickshire
2011-05-01,21,NA,warwickshire
2012-05-01,18,NA,warwickshire
2013-05-01,14,NA,warwickshire
2014-05-01,17,NA,warwickshire
2015-05-01,27,NA,warwickshire
2016-05-01,51,NA,warwickshire
2017-05-01,68,NA,warwickshire
2010-06-01,34,NA,warwickshire
2011-06-01,19,NA,warwickshire
2012-06-01,25,NA,warwickshire
2013-06-01,19,NA,warwickshire
2014-06-01,17,NA,warwickshire
2015-06-01,33,NA,warwickshire
2016-06-01,45,NA,warwickshire
2017-06-01,96,NA,warwickshire
2010-07-01,19,NA,warwickshire
2011-07-01,24,NA,warwickshire
2012-07-01,24,NA,warwickshire
2013-07-01,20,NA,warwickshire
2014-07-01,20,NA,warwickshire
2015-07-01,43,NA,warwickshire
2016-07-01,50,NA,warwickshire
2017-07-01,61,NA,warwickshire
2010-08-01,19,NA,warwickshire
2011-08-01,24,NA,warwickshire
2012-08-01,18,NA,warwickshire
2013-08-01,24,NA,warwickshire
2014-08-01,20,NA,warwickshire
2015-08-01,35,NA,warwickshire
2016-08-01,39,NA,warwickshire
2017-08-01,65,NA,warwickshire
2010-09-01,32,NA,warwickshire
2011-09-01,21,NA,warwickshire
2012-09-01,16,NA,warwickshire
2013-09-01,15,NA,warwickshire
2014-09-01,24,NA,warwickshire
2015-09-01,28,NA,warwickshire
2016-09-01,66,NA,warwickshire
2017-09-01,78,NA,warwickshire
2010-10-01,24,NA,warwickshire
2011-10-01,21,NA,warwickshire
2012-10-01,30,NA,warwickshire
2013-10-01,13,NA,warwickshire
2014-10-01,29,NA,warwickshire
2015-10-01,36,NA,warwickshire
2016-10-01,49,NA,warwickshire
2017-10-01,77,NA,warwickshire
2010-11-01,23,NA,warwickshire
2011-11-01,27,NA,warwickshire
2012-11-01,21,NA,warwickshire
2013-11-01,10,NA,warwickshire
2014-11-01,14,NA,warwickshire
2015-11-01,32,NA,warwickshire
2016-11-01,59,NA,warwickshire
2017-11-01,54,NA,warwickshire
2010-12-01,23,NA,warwickshire
2011-12-01,18,NA,warwickshire
2012-12-01,17,NA,warwickshire
2013-12-01,11,NA,warwickshire
2014-12-01,18,NA,warwickshire
2015-12-01,31,NA,warwickshire
2016-12-01,63,NA,warwickshire
2017-12-01,43,NA,warwickshire
2011-01-01,18,NA,warwickshire
2012-01-01,32,NA,warwickshire
2013-01-01,21,NA,warwickshire
2014-01-01,9,NA,warwickshire
2015-01-01,18,NA,warwickshire
2016-01-01,31,NA,warwickshire
2017-01-01,48,NA,warwickshire
2018-01-01,42,NA,warwickshire
2011-02-01,24,NA,warwickshire
2012-02-01,19,NA,warwickshire
2013-02-01,18,NA,warwickshire
2014-02-01,14,NA,warwickshire
2015-02-01,22,NA,warwickshire
2016-02-01,32,NA,warwickshire
2017-02-01,51,NA,warwickshire
2018-02-01,29,NA,warwickshire
2011-03-01,31,NA,warwickshire
2012-03-01,26,NA,warwickshire
2013-03-01,13,NA,warwickshire
2014-03-01,16,NA,warwickshire
2015-03-01,25,NA,warwickshire
2016-03-01,49,NA,warwickshire
2017-03-01,56,NA,warwickshire
2018-03-01,46,NA,warwickshire
