date,hate_crimes,muslim_crimes,county
2015-01-01,NA,6,west_midlands
2015-02-01,NA,3,west_midlands
2015-03-01,NA,2,west_midlands
2015-04-01,NA,7,west_midlands
2015-05-01,NA,3,west_midlands
2015-06-01,NA,6,west_midlands
2015-07-01,NA,9,west_midlands
2015-08-01,NA,5,west_midlands
2015-09-01,NA,3,west_midlands
2015-10-01,NA,3,west_midlands
2015-11-01,NA,10,west_midlands
2015-12-01,NA,8,west_midlands
2016-01-01,NA,4,west_midlands
2016-02-01,NA,1,west_midlands
2016-03-01,NA,2,west_midlands
2016-04-01,NA,3,west_midlands
2016-05-01,NA,3,west_midlands
2016-06-01,NA,6,west_midlands
2016-07-01,NA,9,west_midlands
2016-08-01,NA,3,west_midlands
2016-09-01,NA,4,west_midlands
2016-10-01,NA,9,west_midlands
2016-11-01,NA,3,west_midlands
2016-12-01,NA,3,west_midlands
2017-01-01,NA,8,west_midlands
2017-02-01,NA,4,west_midlands
2017-03-01,NA,5,west_midlands
2017-04-01,NA,7,west_midlands
2017-05-01,NA,14,west_midlands
2017-06-01,NA,19,west_midlands
2017-07-01,NA,3,west_midlands
2017-08-01,NA,7,west_midlands
2017-09-01,NA,2,west_midlands
2017-10-01,NA,7,west_midlands
2017-11-01,NA,8,west_midlands
2017-12-01,NA,5,west_midlands
2018-01-01,NA,2,west_midlands
2018-02-01,NA,2,west_midlands
2018-03-01,NA,3,west_midlands
2018-04-01,NA,7,west_midlands
