"","V8","purecontrol_TEMP","purecontrol","relid","success","follow_lfc","fav_plyr","fav_plyr_TEXT","perform18","year_born_1","gender","educ","city_uk_1","pid","shaqiri_11","Milner_1","Klopp_1","tr_intro","tr_failure","tr_success","tr_character","tr_relid","world_cup","improve_lfc_1","improve_lfc_2","improve_lfc_3","improve_lfc_6","improve_lfc_7","improve_lfc_7_TEXT","salah_perform_12","win_lfc","karius","muslims_common","islam_compatible","imm_impact","Q50","brexit","Q48","end","NA.","ID"
"1","2018-11-12 23:39:10",0,0,0,0,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Somewhat satisfied",1970,"Man","Master’s degree or higher","Chichester","Conservative",7,6,NA,1,1,NA,1,NA,"","","","","","","",8,"Somewhat likely","Strongly agree","A lot in common","Neither","Very positive","","Hard Brexit would be best","",1,NA,484
"2","2018-11-13 00:52:29",2,NA,1,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Somewhat satisfied",1954,"Man","Secondary school","Liverpool","Conservative",7,9,NA,NA,NA,NA,NA,NA,"","","","","","","",7,"Somewhat likely","Somewhat disagree","A little in common","Neither","Somewhat positive","","No Brexit would be best","",1,NA,9321
"3","2018-11-13 01:07:48",3,NA,1,1,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1958,"Woman","Secondary school","Leeds","Labour",8,10,NA,NA,NA,NA,NA,NA,"","","","","","","",7,"Somewhat unlikely","Neither agree nor disagree","Nothing in common","Don’t know","Negative","","Soft Brexit would be best","",1,NA,204
"4","2018-11-13 01:57:59",1,NA,0,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Somewhat satisfied",1966,"Man","Secondary school","Newport","Labour",9,9,NA,NA,NA,NA,NA,NA,"","","","","","","",9,"Somewhat likely","Somewhat agree","Nothing in common","There is a fundamental clash between Islam and the values of British society","Somewhat positive","","Soft Brexit would be best","",1,NA,9394
"5","2018-11-13 03:06:02",3,NA,0,0,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Somewhat satisfied",1965,"Man","Some university","Sheffield","Labour",8,9,NA,NA,NA,NA,NA,NA,"","","","","","","",9,"Somewhat likely","Somewhat agree","A lot in common","Neither","Positive","","No Brexit would be best","",1,NA,4056
"6","2018-11-13 03:43:42",1,NA,0,1,"Somewhat closely (watch big matches, read news occasionally)","Sadio Mané","","Somewhat satisfied",1966,"Man","University degree","Bath","Labour",8,8,NA,NA,NA,NA,NA,NA,"","","","","","","",9,"Somewhat likely","Strongly agree","A little in common","There is a fundamental clash between Islam and the values of British society","Positive","","No Brexit would be best","",1,NA,2002
"7","2018-11-13 04:27:23",4,NA,1,1,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Very satisfied",1973,"Man","Vocational training","Manchester","None of the above",8,8,NA,NA,NA,NA,NA,NA,"","","","","","","",8,"Somewhat likely","Somewhat disagree","A little in common","There is a fundamental clash between Islam and the values of British society","Neither positive nor negative","","Hard Brexit would be best","",1,NA,10600
"8","2018-11-13 04:45:48",2,NA,0,1,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1964,"Man","Master’s degree or higher","Southampton","UK Independence Party (UKIP)",8,9,NA,NA,NA,NA,NA,NA,"","","","","","","",9,"Somewhat likely","Strongly agree","Nothing in common","There is a fundamental clash between Islam and the values of British society","Somewhat negative","","Hard Brexit would be best","",1,NA,4553
"9","2018-11-13 04:53:59",3,NA,0,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1959,"Man","Secondary school","Durham","None of the above",7,7,NA,NA,NA,NA,NA,NA,"","","","","","","",8,"Very likely","Strongly agree","Nothing in common","There is a fundamental clash between Islam and the values of British society","Negative","","Hard Brexit would be best","",1,NA,7294
"10","2018-11-13 04:59:28",2,NA,1,1,"Somewhat closely (watch big matches, read news occasionally)","Bobby Firmino","","Somewhat satisfied",1966,"Man","Secondary school","York","None of the above",8,8,NA,NA,NA,NA,NA,NA,"","","","","","","",8,"Somewhat unlikely","Strongly agree","Nothing in common","Don’t know","Somewhat positive","","Hard Brexit would be best","",1,NA,9647
